draftRound,draftPick,playerName,position,age,height,weight,collegeAttended,rushingAttempts,rushingYards,avgYardsPerRush,rushingTouchdowns,receptions,receivingYards,avgYardsPerReception,receivingTouchdowns,fortyYardDash,verticalJump,benchPress,broadJump,threeCone,shuttle
4,121,Correll Buckhalter,RB,22,183,222,Nebraska,413.0,2522.0,6.1,27.0,24.0,200.0,8.3,1.0,4.53,40.0,11.0,123.0,7.08,4.06
4,124,Justin McCareins,WR,22,188,215,Northern Illinois,14.0,162.0,11.6,0.0,204.0,2991.0,14.7,29.0,4.51,41.0,15.0,129.0,7.06,3.99
4,129,Brandon Manumaleuna,TE,21,188,288,Arizona,1.0,0.0,0.0,0.0,40.0,544.0,13.6,3.0,4.99,30.0,21.0,106.0,7.49,4.26
4,131,Cedric James,WR,22,185,199,TCU,4.0,-6.0,-1.5,0.0,41.0,593.0,14.5,4.0,4.49,43.0,15.0,134.0,6.92,4.19
5,136,Vinny Sutherland,WR,23,173,188,Purdue,50.0,384.0,7.7,3.0,176.0,2370.0,13.5,25.0,4.48,35.8,15.0,121.0,6.92,4.19
5,141,Bill Baber,TE,22,190,255,Virginia,0.0,0.0,0.0,0.0,54.0,544.0,10.1,5.0,4.76,33.0,22.0,106.0,7.12,4.19
5,147,Tony Stewart,TE,22,196,260,Penn St.,0.0,0.0,0.0,0.0,59.0,861.0,14.6,3.0,4.96,35.5,21.0,109.0,7.3,4.4
6,169,Cedrick Wilson,WR,22,178,183,Tennessee,0.0,0.0,0.0,0.0,159.0,2137.0,13.4,24.0,4.48,38.0,15.0,123.0,6.92,4.19
6,190,Kevin Kasper,WR,23,185,197,Iowa,2.0,-20.0,-10.0,0.0,157.0,1974.0,12.6,11.0,4.42,43.5,15.0,126.0,6.56,3.73
6,195,Dan O'Leary,TE,24,190,248,Notre Dame,0.0,0.0,0.0,0.0,32.0,383.0,12.0,4.0,5.02,32.0,16.0,113.0,7.4,4.31
6,198,David Martin,TE,22,193,260,Tennessee,0.0,0.0,0.0,0.0,46.0,543.0,11.8,5.0,4.76,33.7,21.0,116.0,7.14,4.33
7,214,Reggie Germany,WR,23,185,180,Ohio St.,0.0,0.0,0.0,0.0,80.0,1268.0,15.9,6.0,4.39,35.8,15.0,121.0,6.92,4.19
7,227,Mike Roberg,TE,23,193,263,Idaho,0.0,0.0,0.0,0.0,64.0,722.0,11.3,10.0,4.75,34.5,16.0,117.0,7.28,4.4
7,229,Ken-Yon Rambo,WR,22,185,195,Ohio St.,13.0,53.0,4.1,0.0,106.0,1849.0,17.4,9.0,4.34,35.8,15.0,121.0,6.92,4.19
7,236,Quentin McCord,WR,23,178,188,Kentucky,8.0,160.0,20.0,1.0,112.0,1743.0,15.6,15.0,4.48,36.5,15.0,112.0,7.17,4.18
7,245,Andre King,WR,27,180,195,Miami (FL),0.0,0.0,0.0,0.0,64.0,834.0,13.0,3.0,4.61,35.8,15.0,121.0,6.92,4.19
1,13,Donte' Stallworth,WR,21,183,197,Tennessee,4.0,30.0,7.5,0.0,99.0,1747.0,17.6,13.0,4.22,35.8,15.0,121.0,6.92,4.19
1,14,Jeremy Shockey,TE,22,196,253,Miami (FL),0.0,0.0,0.0,0.0,61.0,815.0,13.4,10.0,4.64,33.7,21.0,116.0,7.14,4.33
1,16,William Green,RB,22,183,215,Boston Col.,501.0,2974.0,5.9,33.0,31.0,343.0,11.1,3.0,4.6,42.0,27.0,121.0,7.03,4.25
1,18,T.J. Duckett,RB,21,183,254,Michigan St.,621.0,3379.0,5.4,29.0,22.0,151.0,6.9,1.0,4.45,34.7,20.0,119.0,7.03,4.25
1,19,Ashley Lelie,WR,22,190,200,Hawaii,0.0,0.0,0.0,0.0,194.0,3341.0,17.2,32.0,4.49,35.8,15.0,121.0,6.92,4.19
1,20,Javon Walker,WR,23,190,220,Florida St.,0.0,0.0,0.0,0.0,65.0,1257.0,19.3,10.0,4.38,39.5,15.0,128.0,6.86,4.05
1,21,Daniel Graham,TE,23,190,257,Colorado,0.0,0.0,0.0,0.0,106.0,1543.0,14.6,11.0,4.64,36.0,21.0,118.0,7.14,4.33
1,28,Jerramy Stevens,TE,22,201,260,Washington,0.0,0.0,0.0,0.0,74.0,953.0,12.9,8.0,4.77,33.7,21.0,116.0,7.14,4.33
2,33,Jabar Gaffney,WR,21,185,205,Florida,0.0,0.0,0.0,0.0,138.0,2375.0,17.2,27.0,4.56,35.8,15.0,121.0,6.87,4.06
2,34,DeShaun Foster,RB,22,183,222,UCLA,696.0,3087.0,4.4,39.0,58.0,548.0,9.4,4.0,4.57,35.5,20.0,119.0,6.82,4.16
2,36,Josh Reed,WR,22,178,208,LSU,9.0,63.0,7.0,1.0,167.0,3001.0,18.0,17.0,4.54,35.8,15.0,121.0,6.92,4.19
2,46,Tim Carter,WR,22,183,200,Auburn,24.0,173.0,7.2,0.0,57.0,842.0,14.8,4.0,4.32,39.0,15.0,126.0,6.68,3.93
2,47,Andre' Davis,WR,23,185,195,Virginia Tech,12.0,137.0,11.4,4.0,110.0,2094.0,19.0,19.0,4.42,39.5,15.0,123.0,6.77,4.1
2,48,Reche Caldwell,WR,23,183,215,Florida,13.0,91.0,7.0,0.0,141.0,2088.0,14.8,18.0,4.53,41.5,15.0,130.0,7.0,4.1
2,51,Clinton Portis,RB,21,180,205,Miami (FL),440.0,2523.0,5.7,20.0,21.0,272.0,13.0,3.0,4.42,34.7,20.0,119.0,7.03,4.25
2,54,Maurice Morris,RB,22,180,202,Oregon,466.0,2237.0,4.8,17.0,35.0,307.0,8.8,3.0,4.53,38.5,23.0,119.0,7.03,4.25
2,55,Doug Jolley,TE,23,193,250,BYU,1.0,-9.0,-9.0,0.0,52.0,768.0,14.8,11.0,4.6,38.0,18.0,117.0,6.9,4.18
2,56,Ladell Betts,RB,23,178,222,Iowa,832.0,3686.0,4.4,25.0,72.0,702.0,9.8,2.0,4.62,38.0,23.0,116.0,7.06,4.06
2,62,Antwaan Randle El,WR,23,178,192,Indiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.49,35.8,15.0,121.0,6.92,4.19
2,63,Antonio Bryant,WR,21,185,192,Pittsburgh,0.0,0.0,0.0,0.0,161.0,2805.0,17.4,26.0,4.57,37.0,15.0,121.0,6.92,4.19
2,65,Deion Branch,WR,23,175,193,Louisville,10.0,36.0,3.6,0.0,143.0,2204.0,15.4,18.0,4.47,36.0,15.0,117.0,6.71,3.78
3,67,Matt Schobel,TE,23,196,257,TCU,0.0,0.0,0.0,0.0,27.0,378.0,14.0,6.0,4.74,34.5,21.0,116.0,7.14,4.33
3,87,Cliff Russell,WR,23,180,193,Utah,7.0,37.0,5.3,0.0,124.0,1862.0,15.0,10.0,4.36,35.8,15.0,121.0,6.92,4.19
3,88,Chris Baker,TE,22,190,258,Michigan St.,1.0,9.0,9.0,0.0,133.0,1705.0,12.8,13.0,4.81,35.0,18.0,112.0,6.95,4.33
4,99,Jonathan Wells,RB,23,185,252,Ohio St.,460.0,2344.0,5.1,26.0,26.0,233.0,9.0,0.0,4.52,34.7,20.0,119.0,7.03,4.25
4,103,Justin Peelle,TE,23,193,255,Oregon,0.0,6.0,0.0,0.0,63.0,944.0,15.0,14.0,4.75,29.0,21.0,110.0,7.34,4.29
4,114,Randy McMichael,TE,23,190,250,Georgia,0.0,0.0,0.0,0.0,90.0,1213.0,13.5,5.0,4.88,29.5,18.0,112.0,7.58,4.28
4,118,Chris Luzar,TE,23,201,262,Virginia,0.0,0.0,0.0,0.0,53.0,598.0,11.3,0.0,4.76,32.5,22.0,115.0,6.84,4.17
4,119,Travis Stephens,RB,24,173,194,Tennessee,488.0,2336.0,4.8,21.0,27.0,200.0,7.4,1.0,4.6,32.0,15.0,121.0,7.03,4.25
4,123,Ron Johnson,WR,22,188,225,Minnesota,1.0,-27.0,-27.0,0.0,196.0,2931.0,15.0,31.0,4.7,34.5,15.0,118.0,7.12,4.02
4,135,Najeh Davenport,RB,23,185,245,Miami (FL),156.0,830.0,5.3,13.0,35.0,381.0,10.9,3.0,4.57,34.7,20.0,119.0,7.03,4.25
5,138,John Owens,TE,22,190,266,Notre Dame,0.0,0.0,0.0,0.0,6.0,79.0,13.2,1.0,4.77,38.5,21.0,117.0,7.14,4.33
5,144,Herb Haygood,WR,24,180,193,Michigan St.,8.0,42.0,5.3,0.0,115.0,1640.0,14.3,7.0,4.45,33.0,15.0,114.0,6.65,4.26
5,145,Kyle Johnson,RB,23,183,242,Syracuse,101.0,466.0,4.6,8.0,13.0,116.0,8.9,2.0,4.74,34.0,22.0,119.0,7.4,4.35
5,149,Jason McAddley,WR,23,188,200,Alabama,5.0,77.0,15.4,0.0,71.0,1020.0,14.4,8.0,4.47,36.5,15.0,123.0,6.83,4.09
5,151,Jake Schifino,WR,22,185,201,Akron,10.0,49.0,4.9,0.0,131.0,1986.0,15.2,10.0,4.49,35.8,15.0,121.0,6.92,4.19
5,155,Terry Jones,TE,22,190,265,Alabama,0.0,0.0,0.0,0.0,31.0,480.0,15.5,3.0,4.79,33.5,20.0,111.0,7.43,4.43
5,160,Robert Royal,TE,23,193,257,LSU,0.0,0.0,0.0,0.0,59.0,707.0,12.0,7.0,4.97,31.0,14.0,114.0,7.37,4.27
5,166,Verron Haynes,RB,23,178,223,Georgia,137.0,738.0,5.4,8.0,19.0,242.0,12.7,2.0,4.78,31.5,25.0,117.0,7.27,4.08
6,184,Kahlil Hill,WR,23,188,200,Iowa,5.0,9.0,1.8,0.0,152.0,1892.0,12.4,15.0,4.65,35.0,15.0,121.0,6.92,4.19
6,185,Josh Scobey,RB,22,183,222,Kansas St.,409.0,1981.0,4.8,31.0,13.0,81.0,6.2,0.0,4.42,40.5,21.0,124.0,6.96,3.93
6,197,Larry Ned,RB,24,180,217,San Diego St.,765.0,3562.0,4.7,36.0,39.0,343.0,8.8,0.0,4.62,34.5,15.0,120.0,7.12,4.25
6,201,Mark Anelli,TE,23,190,265,Wisconsin,0.0,0.0,0.0,0.0,48.0,481.0,10.0,3.0,4.8,33.7,18.0,116.0,7.14,4.33
6,202,Lee Mays,WR,23,188,200,Texas-El Paso,13.0,79.0,6.1,0.0,200.0,2920.0,14.6,28.0,4.55,32.5,15.0,119.0,7.08,4.17
6,204,Brian Allen,RB,22,175,205,Stanford,482.0,2117.0,4.4,13.0,23.0,226.0,9.8,0.0,4.46,33.0,19.0,112.0,6.9,4.08
6,206,Javin Hunter,WR,22,180,190,Notre Dame,3.0,51.0,17.0,0.0,63.0,867.0,13.8,4.0,4.47,41.0,15.0,129.0,6.84,4.04
6,207,Chester Taylor,RB,22,180,213,Toledo,803.0,4646.0,5.8,55.0,61.0,554.0,9.1,5.0,4.58,33.0,22.0,114.0,7.03,4.25
7,222,Kendall Newson,WR,22,185,197,Middle Tenn. St.,9.0,76.0,8.4,0.0,208.0,2659.0,12.8,17.0,4.69,33.5,15.0,117.0,6.87,4.27
7,223,Mike Banks,TE,22,193,262,Iowa St.,0.0,0.0,0.0,0.0,59.0,584.0,9.9,0.0,4.84,31.5,21.0,104.0,7.14,4.33
7,226,Daryl Jones,WR,23,175,190,Miami (FL),2.0,-8.0,-4.0,0.0,59.0,819.0,13.9,5.0,4.35,35.8,15.0,121.0,6.92,4.19
7,235,Ronald Curry,WR,23,188,220,North Carolina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.59,35.0,15.0,115.0,7.06,4.11
7,241,Leonard Henry,RB,24,185,210,East Carolina,519.0,3089.0,6.0,29.0,54.0,429.0,7.9,3.0,4.57,35.0,26.0,113.0,7.11,4.29
7,253,David Givens,WR,22,183,212,Notre Dame,41.0,146.0,3.6,4.0,72.0,814.0,11.3,3.0,4.56,40.5,15.0,126.0,6.82,4.13
1,2,Charles Rogers,WR,22,190,202,Michigan St.,10.0,110.0,11.0,1.0,135.0,2821.0,20.9,27.0,4.4,35.8,15.0,121.0,6.92,4.19
1,3,Andre Johnson,WR,22,190,219,Miami (FL),2.0,11.0,5.5,0.0,92.0,1831.0,19.9,20.0,4.41,39.0,15.0,132.0,6.92,4.19
1,17,Bryant Johnson,WR,22,188,214,Penn St.,4.0,5.0,1.3,0.0,110.0,2008.0,18.3,10.0,4.57,35.8,15.0,121.0,6.92,4.19
1,23,Willis McGahee,RB,21,183,228,Miami (FL),349.0,2067.0,5.9,31.0,28.0,348.0,12.4,0.0,4.45,34.7,20.0,119.0,7.03,4.25
1,24,Dallas Clark,TE,24,190,257,Iowa,0.0,0.0,0.0,0.0,81.0,1281.0,15.8,8.0,4.65,37.5,21.0,123.0,7.14,4.33
1,27,Larry Johnson,RB,23,185,228,Penn St.,460.0,2953.0,6.4,26.0,65.0,681.0,10.5,7.0,4.45,34.7,19.0,119.0,7.03,4.25
2,41,Bennie Joppru,TE,23,193,234,Michigan,0.0,0.0,0.0,0.0,79.0,731.0,9.3,8.0,4.78,30.5,19.0,109.0,7.14,4.33
2,44,Taylor Jacobs,WR,22,183,198,Florida,10.0,81.0,8.1,1.0,133.0,2097.0,15.8,16.0,4.42,35.8,15.0,121.0,6.92,4.19
2,45,Bethel Johnson,WR,24,180,200,Texas A&M,8.0,55.0,6.9,1.0,117.0,1740.0,14.9,11.0,4.38,38.5,15.0,127.0,6.92,4.19
2,54,Anquan Boldin,WR,22,185,218,Florida St.,26.0,127.0,4.9,1.0,118.0,1790.0,15.2,21.0,4.72,33.5,15.0,114.0,7.35,4.33
2,60,Tyrone Calico,WR,22,193,223,Middle Tenn. St.,14.0,55.0,3.9,1.0,194.0,2636.0,13.6,17.0,4.34,38.0,15.0,127.0,6.73,4.26
2,61,L.J. Smith,TE,23,190,258,Rutgers,17.0,76.0,4.5,0.0,122.0,1458.0,12.0,10.0,4.62,37.0,26.0,122.0,6.74,4.25
2,63,Teyo Johnson,TE,21,196,260,Stanford,1.0,-2.0,-2.0,0.0,79.0,1032.0,13.1,15.0,4.61,33.5,21.0,116.0,7.14,4.33
3,65,Kelley Washington,WR,24,190,218,Tennessee,1.0,10.0,10.0,0.0,87.0,1453.0,16.7,6.0,4.42,35.8,15.0,121.0,6.92,4.19
3,69,Jason Witten,TE,21,198,263,Tennessee,0.0,0.0,0.0,0.0,68.0,797.0,11.7,7.0,4.65,31.0,25.0,116.0,7.14,4.33
3,71,Nate Burleson,WR,22,183,192,Nevada,27.0,190.0,7.0,1.0,248.0,3287.0,13.3,22.0,4.51,42.5,15.0,126.0,6.96,4.16
3,74,Kevin Curtis,WR,25,180,186,Utah St.,9.0,46.0,5.1,1.0,174.0,2789.0,16.0,19.0,4.42,36.0,15.0,122.0,6.76,3.99
3,76,Mike Seidman,TE,22,193,261,UCLA,0.0,0.0,0.0,0.0,59.0,956.0,16.2,7.0,4.8,33.7,20.0,116.0,7.14,4.33
3,77,Musa Smith,RB,21,183,232,Georgia,454.0,2202.0,4.9,19.0,27.0,187.0,6.9,0.0,4.45,35.5,20.0,123.0,7.03,4.25
3,93,Chris Brown,RB,22,190,219,Colorado,493.0,2787.0,5.7,35.0,11.0,76.0,6.9,0.0,4.46,34.7,20.0,119.0,7.03,4.25
3,95,Billy McMullen,WR,23,193,210,Virginia,7.0,37.0,5.3,1.0,210.0,2978.0,14.2,24.0,4.61,35.8,15.0,121.0,6.92,4.19
4,99,Artose Pinner,RB,25,178,232,Kentucky,438.0,2105.0,4.8,17.0,58.0,407.0,7.0,2.0,4.68,34.7,20.0,119.0,7.03,4.25
